steam_id,name
76561198860148800.00 ,TheRip
76561199025554600.00 ,LY001
76561198151804700.00 ,城北徐仙
76561199084632600.00 ,Twitch/ HGB_AoE
76561199111177700.00 ,Twitch/Fury_AoE
76561198400443400.00 ,炸鱼王曹水升
76561198305925800.00 ,thx DE
76561198313422100.00 ,_WWP_lyx
76561198420501400.00 ,正义的威震天
76561198263360300.00 ,[KGB] GoKu
76561198127769500.00 ,Gờ Gờ
76561199060523200.00 ,FaNaTiick
76561198259118600.00 ,_WWP_Paladin
76561198085849100.00 ,Gary_
76561198365941700.00 ,KFC✔
76561198303883500.00 ,RoR | Kamigawa
76561199104325200.00 ,Garyyyyyyy
76561199182502200.00 ,VNS_FasT_
76561198131139900.00 ,The_Dragonstar
76561198282622500.00 ,KFC 義式香草紙包雞
76561199030862200.00 ,tanglang
76561198354278900.00 ,[KGB] Alive
76561199088635600.00 ,Zosimo
76561198116921900.00 ,mYi.Sitaux
76561197960836200.00 ,abundzuehalt
76561199067431500.00 ,_WWP_浩南
76561198102418500.00 ,中国DOTA希望
76561199136077200.00 ,KingstoNe
76561198151895400.00 ,RoR | Whitecourt
76561198888171000.00 ,LY008
76561199069760800.00 ,LobodeLaNieve
76561198184814600.00 ,Zain
76561198199509900.00 ,[BSAILS] DOOMSTER :D
76561198204862100.00 ,RoR | Ganji
76561199015976100.00 ,Dr.Kozmonot
76561198014542700.00 ,nC | PhilippHJS
76561199129266200.00 ,[pM] RoxyC
76561198027802000.00 ,Target331
76561198289402800.00 ,甜甜的玉米汁
76561198179087300.00 ,_WWP_Yo
76561198075952100.00 ,钢铁直男
76561198139823200.00 ,你兄弟
76561198115989300.00 ,mome
76561199041237600.00 ,__BadBoy__
76561198294644900.00 ,chaos_2_win
76561198050896700.00 ,woooooooood
76561198088251600.00 ,GL.TaToH
76561199074071300.00 ,_Marcelo_
76561199092372800.00 ,trungkientdt91
76561199084646100.00 ,Acidkid
76561198425688500.00 ,Margougou
76561197989787600.00 ,PraYs
76561198831683400.00 ,歐歐OvO
76561199149454000.00 ,SkyWalker
76561198312597800.00 ,8899
76561198327604800.00 ,RoR | AngelinaJolie
76561199159915200.00 ,BuloaSaky
76561198271634300.00 ,Lauth3
76561199050196500.00 ,Gabi
76561198367310200.00 ,_WWP_StrayDog
76561199086319900.00 ,Lê Hoàng
76561198869518100.00 ,L_Clan_Locuss
76561198001997400.00 ,Fanjita
76561199019787700.00 ,单排杀神
76561199188483800.00 ,人菜瘾大
76561198169336900.00 ,CL.D3rp
76561198267720300.00 ,[KGB] Leozim_
76561199172040100.00 ,Snatch
76561198088944800.00 ,[SiG] Aramis
76561198314988900.00 ,TW_RED
76561198797909500.00 ,[bK] Paganini
76561198260548300.00 ,TM.GergisTheHater_
76561198343908800.00 ,neromelnick
76561198069982500.00 ,[KGB] God
76561198088395700.00 ,cns_grunt
76561198145609000.00 ,may
76561198857332600.00 ,themariach1
76561197967929400.00 ,|| V.POWER || +SHED
76561197982879000.00 ,[Slip]FeAge
76561199091668800.00 ,believeyourself
76561198107361300.00 ,[V-VI] Annotoph
76561198257230000.00 ,[V-VI] S3Kingcat
76561199058127900.00 ,_WWP_DragonBo
76561199168238600.00 ,裝甲Nakiki
76561197986237600.00 ,HuntingX
76561198347493300.00 ,Zaid@voobly
76561199063069300.00 ,KingstoNe
76561198067629000.00 ,Calais
76561199029541800.00 ,_WWP_偶像先生
76561198074752700.00 ,Wisepii
76561198418994800.00 ,CZ_Somero
76561199029254800.00 ,YYND_suikah
76561199020117100.00 ,Zastosy
76561198120323700.00 ,ElNoniro
76561199046382900.00 ,qingxudashi
76561198054084800.00 ,Sunset
76561198314918500.00 ,Ayin
76561198245164200.00 ,[🥕]King_Boo
76561198075555900.00 ,Ds_Lucky_Rox
76561198027378100.00 ,[aM] Nicov
76561198968626500.00 ,七海なな7み
76561197961117100.00 ,NanoX
76561198282860900.00 ,Mihai06
76561198195396900.00 ,a220541515
76561198363895900.00 ,cr
76561199051828500.00 ,GL_daihan
76561198033589700.00 ,Rgeadn
76561198009215200.00 ,PL_Dziamdziak
76561198250062300.00 ,#NAME?
76561198087854900.00 ,Simmo
76561199156756200.00 ,JustSomePlayer
76561198181602600.00 ,tulendeena
76561198159987800.00 ,Nick
76561198350239300.00 ,[V-VI] Locke
76561198273416400.00 ,Rooster
76561198396796400.00 ,[bK] Faraday__
76561199083171400.00 ,[KT] KingstoN
76561198342628000.00 ,Ubetnir
76561197982917900.00 ,Emil :D
76561199091134000.00 ,_WWP_DragonBoFan3000
76561198416407400.00 ,=//////=???
76561199066277400.00 ,[XEVER] M
76561198135472500.00 ,NeeNee
76561198145126600.00 ,silverstar
76561199030880100.00 ,MestreDosMagos
76561199020986000.00 ,[KGB] Logan
76561199098088600.00 ,ϵ˷
76561198934236900.00 ,Mullisaukko
76561198987612900.00 ,Putito
76561199003530900.00 ,Wiki AoE
76561199132080300.00 ,only
76561199167078000.00 ,佛曰:好難受好痛苦快不行了
76561198159192500.00 ,Dfx2
76561198336483200.00 ,CN_archer(火鸽)
76561198865811700.00 ,軟軟様OxO
76561198379366800.00 ,sora kuma
76561198116933000.00 ,QNA_AssassinLaseR
76561198812183600.00 ,=x=
76561198186718700.00 ,[FrCo] Tifux
